YacName,Loc,Tonn,Cu,Au,Pb,Ag,Zn
Rod,CNMN,     633000.,5370, 0.0000960,0,    0.0013700,2580
Rodhammeren,NRWY,     900000.,300, 0.0000000,0,    0.0000000,0
Rodkleiv,NRWY,    2500000.,970, 0.0000000,0,    0.0000000,2850
Romanera,SPAN,    1500000.,380, 0.0000000,3350,    0.0116000,6210
Romerito,SPAN,    8600000.,900, 0.0000000,1900,    0.0000000,3980
Rosebery-Read,AUTS,   17760000.,690, 0.0003340,5100,    0.0159000,16600
Rostvangen,NRWY,     400000.,2600, 0.0000800,0,    0.0035000,1000
Rudtjebacken,SWDN,    4635000.,980, 0.0000200,0,    0.0012000,2560
Ruttan,CNMN,   40800000.,1530, 0.0000200,0,    0.0005000,1430
Sabetjok,NRWY,      15400.,1600, 0.0000000,0,    0.0000000,0
Sagmo,NRWY,    2100000.,1800, 0.0000000,0,    0.0000000,2200
Sain Bel,FRNC,   20000000.,300, 0.0000000,15,    0.0000000,240
San Antonio,SPAN,   27000000.,1600, 0.0000170,300,    0.0016000,670
San Domingos,PORT,   20000000.,1250, 0.0000000,0,    0.0000000,2500
SnGuilermoSierra,SPAN,  125000000.,710, 0.0000600,670,    0.0012000,1330
San Mateo,PLPN,      20000.,4000, 0.0000000,0,    0.0000000,0
San Pedro,SPAN,     230000.,1750, 0.0000000,0,    0.0000000,0
San Platon,SPAN,    1500000.,3500, 0.0000000,0,    0.0000000,0
San Telmo,SPAN,   11400000.,1500, 0.0000028,1200,    0.0002000,5000
Santa Rosa,SPAN,     500000.,1300, 0.0000000,0,    0.0000000,0
Schist Lake,CNMN,    1880000.,4210, 0.0001150,0,    0.0033200,7000
Selco-Scott,CNQU,     678000.,550, 0.0000200,0,    0.0013000,6910
Shasta King,USCA,     200000.,2920, 0.0001100,0,    0.0034170,7610
Shunsby,CNON,    2270000.,1200, 0.0000000,0,    0.0000000,1280
Sierrecilla,SPAN,     200000.,1770, 0.0000000,6240,    0.0130000,12600
